date	ouv	haut	bas	clot	vol	devise	
03/04/2018 00:00	249.05	256.3	248.7	256	891386	EUR	
04/04/2018 00:00	256.6	257.5	251.6	255.85	1030027	EUR	
05/04/2018 00:00	258	264.5	257.2	264.5	875568	EUR	
06/04/2018 00:00	263.15	264.55	262.1	262.6	665237	EUR	
09/04/2018 00:00	264	264.6	261.1	262.25	643580	EUR	
10/04/2018 00:00	274.05	277.25	271.35	275.15	1546562	EUR	
11/04/2018 00:00	275.1	278.25	273.35	278.25	679824	EUR	
12/04/2018 00:00	278.25	281	276.05	281	682592	EUR	
13/04/2018 00:00	280.8	282.9	279.85	281.85	563645	EUR	
16/04/2018 00:00	281.45	282.95	280.75	282.7	436141	EUR	
17/04/2018 00:00	280.5	281.8	279.25	279.25	660483	EUR	
18/04/2018 00:00	280.55	282.8	279.45	282.8	513555	EUR	
19/04/2018 00:00	282.9	282.95	276.1	277.2	610663	EUR	
20/04/2018 00:00	278.5	280.8	276.85	279.25	764368	EUR	
23/04/2018 00:00	279.85	281.05	278	281.05	369280	EUR	
24/04/2018 00:00	279.3	281.95	279.1	281.75	595931	EUR	
25/04/2018 00:00	281.15	285.85	278.65	280.65	749480	EUR	
26/04/2018 00:00	280.8	281.9	278.65	281.1	603601	EUR	
27/04/2018 00:00	281.4	284.85	281.3	284.4	456201	EUR	
30/04/2018 00:00	285	289.3	284	289.3	581543	EUR	
